index,overallRisk,averageVolume,beta,marketCap,ebitda,forwardPE,totalRevenue
NWS.AX,10.0,175348.0,1.331258,19311896576.0,1182000000.0,22.39735,9879000064.0
KLS.AX,4.483695652173913,634529.0,0.8942287864583333,1706842112.0,163287008.0,14.409091,1433954048.0
AKE.AX,4.0,2875277.0,1.316048,8582876672.0,898928000.0,8.157576,1207800960.0
ARF.AX,1.0,814492.0,1.071915,1274098688.0,1093452732.6971428,19.052631,74741000.0
AVZ.AX,5.0,0.0,-0.289931,2752409344.0,-18284258.0,4.875,5608028143.389474
BRN.AX,6.0,6005926.0,1.01051,532227168.0,-30475096.0,-29.5,355777.0
CCX.AX,5.0,999547.0,1.599545,98138008.0,-12733000.0,13.666667,269116992.0
CHN.AX,5.0,2603288.0,0.152157,1217454208.0,-69369000.0,-39.125004,2164000.0
CNI.AX,9.0,1456381.0,0.996214,1163330560.0,167614000.0,11.115385,370115008.0
CRN.AX,8.0,2329765.0,0.881593,2905717504.0,721571008.0,2.9716983,3084953088.0
CXO.AX,9.0,17639813.0,1.579863,832865408.0,-11858576.0,5.642857,5608028143.389474
DEG.AX,9.0,3347068.0,-0.745647,2014721920.0,-11639552.0,-129.0,493426.0
EDV.AX,2.0,5131052.0,0.116323,9563833344.0,1251000064.0,17.225807,11884000256.0
EVT.AX,8.0,145954.0,1.029901,1901450880.0,185328000.0,17.818182,1173641984.0
HDN.AX,4.483695652173913,2741160.0,0.744944,2502760960.0,1093452732.6971428,13.388888,360600000.0
HMC.AX,4.483695652173913,851543.0,1.2268,1885769088.0,35973000.0,20.807692,87445000.0
IMU.AX,9.0,24805631.0,2.411036,423724096.0,-38520656.0,17.618579725789466,10521439.0
LIC.AX,2.0,231853.0,1.106981,1783537664.0,37836000.0,16.09434,232052992.0
LKE.AX,9.0,15512255.0,0.293168,263151392.0,-33232684.0,-18.5,5608028143.389474
LTR.AX,9.0,9294543.0,0.218093,6650825216.0,-20888000.0,17.618579725789466,-91707000.0
MP1.AX,5.0,1486441.0,1.0259,1880588672.0,45000.0,58.8,153083008.0
NHC.AX,9.0,4976268.0,0.459834,4953662976.0,2071613056.0,9.301588,3108699904.0
NIC.AX,10.0,9953197.0,1.103228,2725903872.0,323432192.0,7.9500003,1634272640.0
NVX.AX,10.0,2960995.0,1.557432,396862624.0,-54517044.0,6.269231,6145522.0
PBH.AX,10.0,1420329.0,2.460686,238381632.0,-77870000.0,-3.4772727,210298000.0
PDN.AX,7.0,12936822.0,1.899774,2653205760.0,-17804000.0,14.833333,5608028143.389474
PNI.AX,2.0,453077.0,1.829954,1850454784.0,7501000.0,18.42,45513000.0
PRU.AX,9.0,4123773.0,0.888888,2409298944.0,788566976.0,6.4999995,1426419968.0
REH.AX,9.0,422697.0,0.722937,12461032448.0,826054016.0,32.15,8839572480.0
RMS.AX,1.0,5650158.0,0.904996,1259107200.0,242431008.0,9.071428,631339008.0
SFR.AX,3.0,1866396.0,1.508705,2919539712.0,248828992.0,12.288462,815723008.0
TLX.AX,1.0,1212009.0,2.255109,3657014528.0,26172000.0,37.0,356883008.0
TLC.AX,2.0,4757547.0,0.8942287864583333,10884161536.0,676700032.0,17.618579725789466,3514400000.0
TYR.AX,2.0,2591156.0,1.805797,697949696.0,33209000.0,44.666668,439776000.0
UMG.AX,3.0,1756470.0,0.627058,1471960704.0,62300000.0,25.894737,1514000000.0
UWL.AX,4.483695652173913,3200274.214285714,0.8942287864583333,12937433537.34694,1093452732.6971428,17.618579725789466,5608028143.389474
ZIP.AX,2.0,5031597.0,2.900832,257879936.0,162348992.0,-3.3888888,693206976.0
